order_id,payment_id,settlement_id,bank_transaction_id,relationship_type,is_match
order_0001,pay_0001,setl_0001,bank_0001,exact,True
order_0002,pay_0002,setl_0002,bank_0002,exact,True
order_0003,pay_0003,setl_0003,bank_0003,date_offset,True
order_0004,pay_0004,setl_0004,bank_0004,exact,True
order_0005,pay_0005,setl_0005,bank_0005,exact,True
order_0006,pay_0006,setl_0006,bank_0006,missing_utr,True
order_0007,pay_0007,setl_0007,bank_0007,date_offset,True
order_0008,pay_0008,setl_0008,bank_0008,exact,True
order_0009,pay_0009,setl_0009,bank_0009,partial_refund,True
order_0010,pay_0010,setl_0010,bank_0010,exact,True
order_0011,pay_0011,setl_0011,bank_0011,split_settlement,True
order_0012,pay_0012,setl_0012,bank_0012,exact,True
order_0013,pay_0013,setl_0013,bank_0013,exact,True
order_0014,pay_0014,setl_0014,bank_0014,exact,True
order_0015,pay_0015,setl_0015,bank_0015,garbled_narration,True
order_0016,pay_0016,setl_0016,bank_0016,missing_utr,True
order_0017,pay_0017,setl_0017,bank_0017,exact,True
order_0018,pay_0018,setl_0018,bank_0018,exact,True
order_0019,pay_0019,setl_0019,bank_0019,exact,True
order_0020,pay_0020,setl_0020,bank_0020,exact,True
order_0021,pay_0021,setl_0021,bank_0021,rounding_drift,True
order_0022,pay_0022,setl_0022,bank_0022,missing_utr,True
order_0023,pay_0023,setl_0023,bank_0023,exact,True
order_0024,pay_0024,setl_0024,bank_0024,exact,True
order_0025,pay_0025,setl_0025,bank_0025,garbled_narration,True
order_0026,pay_0026,setl_0026,bank_0026,date_offset,True
order_0027,pay_0027,setl_0027,bank_0027,missing_utr,True
order_0028,pay_0028,setl_0028,bank_0028,missing_utr,True
order_0029,pay_0029,setl_0029,bank_0029,date_offset,True
order_0030,pay_0030,setl_0030,bank_0030,exact,True
order_0031,pay_0031,setl_0031,bank_0031,exact,True
order_0032,pay_0032,setl_0032,bank_0032,exact,True
order_0033,pay_0033,setl_0033,bank_0033,date_offset,True
order_0034,pay_0034,setl_0034,bank_0034,exact,True
order_0035,pay_0035,setl_0035,bank_0035,exact,True
order_0036,pay_0036,setl_0036,bank_0036,date_offset,True
order_0037,pay_0037,setl_0037,bank_0037,partial_refund,True
order_0038,pay_0038,setl_0038,bank_0038,exact,True
