settlement_id,bank_transaction_id,settlement_amount,bank_amount,amount_difference,amount_difference_pct,relative_amount_difference,date_difference_days,utr_match,utr_missing,utr_similarity,rrn_exact,rrn_similarity,order_id_exact,settlement_id_exact,gateway_ref_exact,auth_code_exact,customer_name_similarity,vpa_similarity,narration_similarity,currency_match,same_direction,status_compatible,candidate_count,split_candidate,fee_adjusted_difference,expected_settlement_date_gap,duplicate_risk,is_digit_transposition,label,source_type_SETTLEMENT,channel_BANK_TRANSFER
ORD-5028,UTR215256385481,6873.25,6873.25,0.0,0.0,0.0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.7647,1,1,1,1,0,0.0,1,0,0,1,1,1
ORD-5031,UTR218242398173,27519.04,27519.04,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.7333,1,1,1,1,0,0.0,0,0,0,1,1,1
ORD-5030,UTR828067113431,20902.0,20902.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.75,1,1,1,1,0,0.0,0,0,0,1,1,1
ORD-5027,UTR524971960828,1484.92,1484.92,0.0,0.0,0.0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.7647,1,1,1,1,0,0.0,1,0,0,1,1,1
ORD-5029,UTR398235977635,41432.97,41432.97,0.0,0.0,0.0,2,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.75,1,1,1,1,0,0.0,2,0,0,1,1,1
CV3001,UTR218242398173,7411.94,27519.04,20107.1,2.712799,0.730661,3,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2182,1,1,1,1,0,20107.1,3,0,0,0,1,1
CV3001,UTR828067113431,7411.94,20902.0,13490.06,1.820044,0.645396,15,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3214,1,1,1,1,0,13490.06,15,0,0,0,1,1
CV3001,UTR112790183691,7411.94,2354.87,5057.07,0.682287,0.682287,13,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1481,1,1,1,1,0,5057.07,13,0,0,0,1,1
CV3001,UTR164339399508,7411.94,46728.71,39316.77,5.304518,0.841384,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2963,1,1,1,1,0,39316.77,1,0,0,0,1,1
CV3001,UTR897413148929,7411.94,30980.83,23568.89,3.179854,0.760757,16,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2545,1,1,1,1,0,23568.89,16,0,0,0,1,1
