settlement_id,bank_transaction_id,stage,decision,confidence,reason,status,amount,date
ORD10012,UPI2026060165911072,exact,match,1.0,Exact deterministic match.,matched,3799.69,2026-06-06
ORD10048,CV1048,exact,match,1.0,Exact deterministic match.,matched,21059.68,2026-06-14
ORD10017,UPI2026070011852706,exact,match,1.0,Exact deterministic match.,matched,33270.39,2026-06-25
ORD10011,UPI2026073062911825,exact,match,1.0,Exact deterministic match.,matched,42522.81,2026-06-21
ORD10007,UPI2026065088385884,exact,match,1.0,Exact deterministic match.,matched,24327.39,2026-07-05
ORD10001,UPI2026064130181318,exact,match,1.0,Exact deterministic match.,matched,16043.3,2026-06-10
ORD10016,UPI2026070815950167,exact,match,1.0,Exact deterministic match.,matched,19778.33,2026-06-18
ORD10046,CV1046,exact,match,1.0,Exact deterministic match.,matched,26097.23,2026-07-01
ORD10010,UPI2026070837798772,exact,match,1.0,Exact deterministic match.,matched,16918.02,2026-07-02
ORD10015,UPI2026072207169822,exact,match,1.0,Exact deterministic match.,matched,6707.46,2026-06-16
ORD10018,UPI2026061571905175,exact,match,1.0,Exact deterministic match.,matched,1078.04,2026-07-08
ORD10047,CV1047,exact,match,1.0,Exact deterministic match.,matched,40819.83,2026-06-09
ORD10045,CV1045,exact,match,1.0,Exact deterministic match.,matched,21775.37,2026-07-10
ORD10014,UPI2026068409227733,exact,match,1.0,Exact deterministic match.,matched,45651.07,2026-06-23
ORD10043,CV1043,exact,match,1.0,Exact deterministic match.,matched,16146.47,2026-07-04
ORD10044,CV1044,exact,match,1.0,Exact deterministic match.,matched,9681.89,2026-06-03
ORD10009,UPI2026063362020162,exact,match,1.0,Exact deterministic match.,matched,42506.47,2026-06-29
ORD10003,UPI2026063777474002,exact,match,1.0,Exact deterministic match.,matched,20876.35,2026-07-07
ORD10008,UPI2026070029931756,exact,match,1.0,Exact deterministic match.,matched,14888.12,2026-06-12
ORD10050,CV1050,exact,match,1.0,Exact deterministic match.,matched,19615.73,2026-07-02
ORD10004,UPI2026063805590276,exact,match,1.0,Exact deterministic match.,matched,28605.57,2026-06-04
ORD10005,UPI2026066770359601,exact,match,1.0,Exact deterministic match.,matched,26452.46,2026-07-07
