order_id,payment_id,order_date,gross_amount,currency,refund_amount,expected_settlement
order_0001,pay_0001,2026-06-04,97696,INR,0.0,95390.37
order_0002,pay_0002,2026-06-29,18789,INR,0.0,18345.58
order_0003,pay_0003,2026-08-09,11895,INR,0.0,11614.28
order_0004,pay_0004,2026-06-05,4405,INR,0.0,4301.04
order_0005,pay_0005,2026-06-30,66737,INR,0.0,65162.01
order_0006,pay_0006,2026-08-11,26562,INR,0.0,25935.14
order_0007,pay_0007,2026-07-28,77736,INR,0.0,75901.43
order_0008,pay_0008,2026-06-21,92006,INR,0.0,89834.66
order_0009,pay_0009,2026-07-06,20879,INR,4175.8,16210.46
order_0010,pay_0010,2026-06-14,12656,INR,0.0,12357.32
order_0011,pay_0011,2026-07-16,45582,INR,0.0,44506.26
order_0012,pay_0012,2026-06-06,96147,INR,0.0,93877.93
order_0013,pay_0013,2026-06-11,72857,INR,0.0,71137.57
order_0014,pay_0014,2026-06-30,38430,INR,0.0,37523.05
order_0015,pay_0015,2026-06-30,13738,INR,0.0,13413.78
order_0016,pay_0016,2026-07-29,83820,INR,0.0,81841.85
order_0017,pay_0017,2026-06-21,49020,INR,0.0,47863.13
order_0018,pay_0018,2026-07-05,92488,INR,0.0,90305.28
order_0019,pay_0019,2026-06-22,70510,INR,0.0,68845.96
order_0020,pay_0020,2026-06-21,61089,INR,0.0,59647.3
order_0021,pay_0021,2026-08-11,29285,INR,0.0,28593.87
order_0022,pay_0022,2026-06-08,30521,INR,0.0,29800.7
order_0023,pay_0023,2026-07-11,53081,INR,0.0,51828.29
order_0024,pay_0024,2026-06-28,74841,INR,0.0,73074.75
order_0025,pay_0025,2026-08-03,52356,INR,0.0,51120.4
order_0026,pay_0026,2026-06-19,35218,INR,0.0,34386.86
order_0027,pay_0027,2026-08-11,71144,INR,0.0,69465.0
order_0028,pay_0028,2026-08-14,52850,INR,0.0,51602.74
order_0029,pay_0029,2026-06-18,67284,INR,0.0,65696.1
order_0030,pay_0030,2026-06-07,14871,INR,0.0,14520.04
order_0031,pay_0031,2026-06-09,50932,INR,0.0,49730.0
order_0032,pay_0032,2026-08-07,33453,INR,0.0,32663.51
