settlement_id,bank_transaction_id,stage,decision,confidence,reason,status
setl_0001,bank_0001,exact,match,1.0,Exact deterministic match.,matched
setl_0002,bank_0002,exact,match,1.0,Exact deterministic match.,matched
setl_0003,bank_0003,exact,match,1.0,Exact deterministic match.,matched
setl_0004,bank_0004,exact,match,1.0,Exact deterministic match.,matched
setl_0005,bank_0005,exact,match,1.0,Exact deterministic match.,matched
setl_0007,bank_0007,exact,match,1.0,Exact deterministic match.,matched
setl_0008,bank_0008,exact,match,1.0,Exact deterministic match.,matched
setl_0009,bank_0009,exact,match,1.0,Exact deterministic match.,matched
setl_0010,bank_0010,exact,match,1.0,Exact deterministic match.,matched
setl_0012,bank_0012,exact,match,1.0,Exact deterministic match.,matched
setl_0013,bank_0013,exact,match,1.0,Exact deterministic match.,matched
setl_0014,bank_0014,exact,match,1.0,Exact deterministic match.,matched
setl_0015,bank_0015,exact,match,1.0,Exact deterministic match.,matched
setl_0017,bank_0017,exact,match,1.0,Exact deterministic match.,matched
setl_0018,bank_0018,exact,match,1.0,Exact deterministic match.,matched
setl_0019,bank_0019,exact,match,1.0,Exact deterministic match.,matched
setl_0020,bank_0020,exact,match,1.0,Exact deterministic match.,matched
setl_0023,bank_0023,exact,match,1.0,Exact deterministic match.,matched
setl_0024,bank_0024,exact,match,1.0,Exact deterministic match.,matched
setl_0025,bank_0025,exact,match,1.0,Exact deterministic match.,matched
setl_0026,bank_0026,exact,match,1.0,Exact deterministic match.,matched
setl_0029,bank_0029,exact,match,1.0,Exact deterministic match.,matched
setl_0030,bank_0030,exact,match,1.0,Exact deterministic match.,matched
setl_0031,bank_0031,exact,match,1.0,Exact deterministic match.,matched
setl_0032,bank_0032,exact,match,1.0,Exact deterministic match.,matched
setl_0033,bank_0033,exact,match,1.0,Exact deterministic match.,matched
setl_0034,bank_0034,exact,match,1.0,Exact deterministic match.,matched
setl_0035,bank_0035,exact,match,1.0,Exact deterministic match.,matched
setl_0036,bank_0036,exact,match,1.0,Exact deterministic match.,matched
setl_0037,bank_0037,exact,match,1.0,Exact deterministic match.,matched
setl_0038,bank_0038,exact,match,1.0,Exact deterministic match.,matched
setl_0039,bank_0039,exact,match,1.0,Exact deterministic match.,matched
setl_0040,bank_0040,exact,match,1.0,Exact deterministic match.,matched
setl_0041,bank_0041,exact,match,1.0,Exact deterministic match.,matched
setl_0043,bank_0043,exact,match,1.0,Exact deterministic match.,matched
setl_0045,bank_0045,exact,match,1.0,Exact deterministic match.,matched
setl_0046,bank_0046,exact,match,1.0,Exact deterministic match.,matched
setl_0048,bank_0048,exact,match,1.0,Exact deterministic match.,matched
setl_0049,bank_0049,exact,match,1.0,Exact deterministic match.,matched
setl_0050,bank_0050,exact,match,1.0,Exact deterministic match.,matched
setl_0053,bank_0053,exact,match,1.0,Exact deterministic match.,matched
setl_0055,bank_0055,exact,match,1.0,Exact deterministic match.,matched
setl_0056,bank_0056,exact,match,1.0,Exact deterministic match.,matched
setl_0057,bank_0057,exact,match,1.0,Exact deterministic match.,matched
setl_0058,bank_0058,exact,match,1.0,Exact deterministic match.,matched
setl_0059,bank_0059,exact,match,1.0,Exact deterministic match.,matched
setl_0060,bank_0060,exact,match,1.0,Exact deterministic match.,matched
setl_0061,bank_0061,exact,match,1.0,Exact deterministic match.,matched
setl_0062,bank_0062,exact,match,1.0,Exact deterministic match.,matched
setl_0063,bank_0063,exact,match,1.0,Exact deterministic match.,matched
setl_0064,bank_0064,exact,match,1.0,Exact deterministic match.,matched
