settlement_id,bank_transaction_id,match_type,amount_difference,date_difference_days,narration_similarity,is_match
setl_0011,bank_0011|bank_split_0003,split_settlement,0.0,2,1.0,True
setl_0044,bank_0044|bank_split_0008,split_settlement,0.0,3,1.0,True
setl_0051,bank_0051|bank_split_0005,split_settlement,0.0,2,1.0,True
setl_0087,bank_0087|bank_split_0001,split_settlement,0.0,3,1.0,True
setl_0109,bank_0109|bank_split_0002,split_settlement,0.0,2,1.0,True
setl_0140,bank_0140|bank_split_0006,split_settlement,0.0,2,1.0,True
setl_0155,bank_0155|bank_split_0004,split_settlement,0.0,3,1.0,True
setl_0180,bank_0180|bank_split_0007,split_settlement,0.0,3,1.0,True
setl_0187,bank_0187|bank_split_0010,split_settlement,0.0,2,1.0,True
setl_0191,bank_0191|bank_split_0009,split_settlement,0.0,2,1.0,True
setl_0220,bank_0220|bank_split_0011,split_settlement,0.0,3,1.0,True
setl_0006,bank_0006,tolerance,0.0,1,0.5909,True
setl_0016,bank_0016,tolerance,0.0,1,0.5909,True
setl_0021,bank_0021,tolerance,0.5,1,0.5909,True
setl_0027,bank_0027,tolerance,0.0,1,0.5909,True
setl_0028,bank_0028,tolerance,0.0,1,0.5909,True
setl_0042,bank_0042,tolerance,0.0,1,0.5909,True
setl_0047,bank_0047,tolerance,0.5,1,0.5909,True
setl_0052,bank_0052,tolerance,0.75,1,0.5909,True
setl_0054,bank_0054,tolerance,0.25,1,0.5909,True
setl_0066,bank_0066,tolerance,0.25,1,0.5909,True
setl_0078,bank_0078,tolerance,0.25,1,0.5909,True
setl_0079,bank_0079,tolerance,0.5,1,0.5909,True
setl_0082,bank_0082,tolerance,0.25,1,0.5909,True
setl_0090,bank_0090,tolerance,0.75,1,0.5909,True
setl_0095,bank_0095,tolerance,0.0,1,0.5909,True
setl_0101,bank_0101,tolerance,0.75,1,0.5909,True
setl_0112,bank_0112,tolerance,0.25,1,0.5909,True
setl_0118,bank_0118,tolerance,0.25,1,0.5909,True
setl_0123,bank_0123,tolerance,0.0,1,0.5909,True
setl_0136,bank_0136,tolerance,0.0,1,0.5909,True
setl_0137,bank_0137,tolerance,0.25,1,0.5909,True
setl_0145,bank_0145,tolerance,0.0,1,0.5909,True
setl_0146,bank_0146,tolerance,0.25,1,0.5909,True
setl_0149,bank_0149,tolerance,0.25,1,0.5909,True
setl_0150,bank_0150,tolerance,0.0,1,0.5909,True
setl_0158,bank_0158,tolerance,0.0,1,0.5909,True
setl_0159,bank_0159,tolerance,0.0,1,0.5909,True
setl_0174,bank_0174,tolerance,0.25,1,0.5909,True
setl_0175,bank_0175,tolerance,0.0,1,0.5909,True
setl_0178,bank_0178,tolerance,0.0,1,0.5909,True
setl_0185,bank_0185,tolerance,0.0,1,0.5909,True
setl_0196,bank_0196,tolerance,0.25,1,0.5909,True
setl_0218,bank_0218,tolerance,0.0,1,0.5909,True
