settlement_id,payment_id,order_id,settlement_date,amount,fee,tax,currency,utr
setl_0001,pay_0001,order_0001,2026-06-06,95390.37,1953.92,351.71,INR,UTR3746317213
setl_0002,pay_0002,order_0002,2026-07-01,18345.58,375.78,67.64,INR,UTR2181241943
setl_0003,pay_0003,order_0003,2026-08-11,11614.28,237.9,42.82,INR,UTR4163119785
setl_0004,pay_0004,order_0004,2026-06-07,4301.04,88.1,15.86,INR,UTR7831113321
setl_0005,pay_0005,order_0005,2026-07-02,65162.01,1334.74,240.25,INR,UTR1402418010
setl_0006,pay_0006,order_0006,2026-08-13,25935.14,531.24,95.62,INR,UTR3585650756
setl_0007,pay_0007,order_0007,2026-07-30,75901.43,1554.72,279.85,INR,UTR2801823908
setl_0008,pay_0008,order_0008,2026-06-23,89834.66,1840.12,331.22,INR,UTR4733616459
setl_0009,pay_0009,order_0009,2026-07-08,16210.46,417.58,75.16,INR,UTR7110082321
setl_0010,pay_0010,order_0010,2026-06-16,12357.32,253.12,45.56,INR,UTR8574149614
setl_0011,pay_0011,order_0011,2026-07-18,44506.26,911.64,164.1,INR,UTR2631775357
setl_0012,pay_0012,order_0012,2026-06-08,93877.93,1922.94,346.13,INR,UTR7887950851
setl_0013,pay_0013,order_0013,2026-06-13,71137.57,1457.14,262.29,INR,UTR9256195745
setl_0014,pay_0014,order_0014,2026-07-02,37523.05,768.6,138.35,INR,UTR1298737106
setl_0015,pay_0015,order_0015,2026-07-02,13413.78,274.76,49.46,INR,UTR5231494220
setl_0016,pay_0016,order_0016,2026-07-31,81841.85,1676.4,301.75,INR,UTR6927597015
setl_0017,pay_0017,order_0017,2026-06-23,47863.13,980.4,176.47,INR,UTR8877444318
setl_0018,pay_0018,order_0018,2026-07-07,90305.28,1849.76,332.96,INR,UTR2525876051
setl_0019,pay_0019,order_0019,2026-06-24,68845.96,1410.2,253.84,INR,UTR3783290795
setl_0020,pay_0020,order_0020,2026-06-23,59647.3,1221.78,219.92,INR,UTR4131575764
setl_0021,pay_0021,order_0021,2026-08-13,28593.87,585.7,105.43,INR,UTR6924716023
setl_0022,pay_0022,order_0022,2026-06-10,29792.2,610.42,109.88,INR,UTR8235363119
setl_0023,pay_0023,order_0023,2026-07-13,51828.29,1061.62,191.09,INR,UTR4529615275
setl_0024,pay_0024,order_0024,2026-06-30,73074.75,1496.82,269.43,INR,UTR2149938334
setl_0025,pay_0025,order_0025,2026-08-05,51120.4,1047.12,188.48,INR,UTR2351531223
setl_0026,pay_0026,order_0026,2026-06-21,34386.86,704.36,126.78,INR,UTR8055995058
setl_0027,pay_0027,order_0027,2026-08-13,69465.0,1422.88,256.12,INR,UTR1599707677
setl_0028,pay_0028,order_0028,2026-08-16,51602.74,1057.0,190.26,INR,UTR7805745017
setl_0029,pay_0029,order_0029,2026-06-20,65696.1,1345.68,242.22,INR,UTR2554762903
setl_0030,pay_0030,order_0030,2026-06-09,14520.04,297.42,53.54,INR,UTR3119634399
setl_0031,pay_0031,order_0031,2026-06-11,49730.0,1018.64,183.36,INR,UTR8217611860
setl_0032,pay_0032,order_0032,2026-08-09,32663.51,669.06,120.43,INR,UTR9573276057
setl_0033,pay_0033,order_0033,2026-06-17,87732.47,1797.06,323.47,INR,UTR9639245200
setl_0034,pay_0034,order_0034,2026-07-16,14764.14,302.42,54.44,INR,UTR8519962896
setl_0035,pay_0035,order_0035,2026-06-23,58554.71,1199.4,215.89,INR,UTR6555540744
setl_0036,pay_0036,order_0036,2026-08-06,23351.58,478.32,86.1,INR,UTR8385972235
setl_0037,pay_0037,order_0037,2026-08-06,62358.9,1606.36,289.14,INR,UTR7980611182
setl_0038,pay_0038,order_0038,2026-07-20,21162.49,433.48,78.03,INR,UTR1854316681
setl_0039,pay_0039,order_0039,2026-07-14,63018.81,1290.84,232.35,INR,UTR9592390865
setl_0040,pay_0040,order_0040,2026-07-19,39842.98,816.12,146.9,INR,UTR1083651970
setl_0041,pay_0041,order_0041,2026-07-03,73097.21,1497.28,269.51,INR,UTR2028439863
setl_0042,pay_0042,order_0042,2026-06-13,94156.2,1928.64,347.16,INR,UTR5067116918
setl_0043,pay_0043,order_0043,2026-06-19,84921.41,1739.48,313.11,INR,UTR4289233844
setl_0044,pay_0044,order_0044,2026-07-06,68018.95,1393.26,250.79,INR,UTR3361388464
setl_0045,pay_0045,order_0045,2026-07-20,56555.04,1158.44,208.52,INR,UTR6633778586
setl_0046,pay_0046,order_0046,2026-07-04,29244.16,599.02,107.82,INR,UTR2939118223
setl_0047,pay_0047,order_0047,2026-06-05,75778.4,1552.2,279.4,INR,UTR5569956444
setl_0048,pay_0048,order_0048,2026-08-17,28671.01,587.28,105.71,INR,UTR3379074819
setl_0049,pay_0049,order_0049,2026-06-10,29787.03,610.14,109.83,INR,UTR1030884438
setl_0050,pay_0050,order_0050,2026-08-07,30947.0,633.9,114.1,INR,UTR2419179580
setl_0051,pay_0051,order_0051,2026-08-11,17420.93,356.84,64.23,INR,UTR3084839399
