Vendor Name,Payment Date,Amount,Reference No,Payment Mode,Status
Sundaram Office Supplies,2026-08-01,23553.33,RTGS352114611,RTGS,PROCESSED
Bharat Logistics Pvt Ltd,2026-08-04,27012.54,NEFT587096273,NEFT,PROCESSED
Cloudline Hosting Services,2026-07-24,121676.06,RTGS897940629,RTGS,PROCESSED
Ace Packaging Co,2026-08-14,170437.41,NEFT550033924,NEFT,PROCESSED
Metro Facility Mgmt,2026-08-07,134381.62,RTGS265917699,RTGS,PROCESSED
Prime Legal Associates,2026-07-27,118921.18,NEFT995171130,NEFT,PROCESSED
Skyline Marketing Agency,2026-08-01,111970.44,RTGS400368694,RTGS,PROCESSED
Nova IT Solutions,2026-07-03,125179.68,NEFT333291547,NEFT,PROCESSED
Om Traders,2026-07-29,81711.17,RTGS353524015,RTGS,PROCESSED
Everest Stationers,2026-07-24,20585.77,NEFT836243579,NEFT,PROCESSED
