Date,Description,Ref / UTR,Withdrawal (Dr),Deposit (Cr),Balance
2026-07-04 00:00:00,CARD SETTLEMENT-AUTH377405,REF:AUTH377405,0.00,"15,137.05",495137.05
2026-07-04 00:00:00,NEFT DR-NOVA IT SOLUTIONS,NEFT-NEFT333291547,"(125,179.68)",0.00,369957.37
2026-07-06 00:00:00,CARD SETTLEMENT-AUTH380150,REF:AUTH380150,0.00,"17,969.92",387927.29
2026-07-09 00:00:00,CARD SETTLEMENT-AUTH457256,REF:AUTH457256,0.00,"55,711.40",443638.69
2026-07-09 00:00:00,CARD SETTLEMENT-AUTH633590,REF:AUTH633590,0.00,"29,688.39",473327.08
2026-07-11 00:00:00,CARD SETTLEMENT-AUTH591465,REF:AUTH591465,0.00,"5,008.92",478336.0
2026-07-24 00:00:00,RTGS DR-CLOUDLINE HOSTING SERVICES,RTGS-RTGS897940629,"(121,676.06)",0.00,356659.94
2026-07-25 00:00:00,NEFT DR-EVEREST STATIONERS,NEFT-NEFT836243579,"(20,585.77)",0.00,336074.17
2026-08-02 00:00:00,RTGS DR-SKYLINE MARKETING AGENCY,RTGS-RTGS400368694,"(111,970.44)",0.00,224103.73
2026-08-04 00:00:00,CARD SETTLEMENT-AUTH288158,REF:AUTH288158,0.00,"38,252.13",262355.86
2026-08-05 00:00:00,NEFT DR-BHARAT LOGISTICS PVT LTD,NEFT-NEFT587096273,"(27,012.54)",0.00,235343.32
2026-08-06 00:00:00,NEFT CR-RAZORPAY-SETTL_9910,NEFTCR-SETTL_9910,0.00,"36,719.49",272062.81
2026-08-08 00:00:00,CARD SETTLEMENT-AUTH335729,REF:AUTH335729,0.00,"42,326.53",314389.34
2026-08-09 00:00:00,CARD SETTLEMENT-AUTH528184,REF:AUTH528184,0.00,"28,070.90",342460.24
2026-08-11 00:00:00,NEFT CR-RAZORPAY-SETTL_9914,NEFTCR-SETTL_9914,0.00,"39,679.71",382139.95
2026-08-20 00:00:00,CARD SETTLEMENT-AUTH930884,REF:AUTH930884,0.00,"26,482.09",408622.04
